Google Adwords Perfomance
February 16 2015, February 22 2015
Brand
date,ad_id,strategy_group,description,spend,spend_wfees,impressions,clicks
2015-02-16 00:00:00,7779,team_banana,Did you know there are 100s of bananas? Click here to find out more!,903.86,909.05,7398.0,1039.0
2015-02-16 00:00:00,10000,team_banana,Did you know there are 100s of bananas? Click here to find out more!,904.82,907.75,9128.0,1989.0
2015-02-16 00:00:00,9309,team_banana,Did you know there are 100s of bananas? Click here to find out more!,196.61,199.7,9244.0,1423.0
2015-02-16 00:00:00,4585,team_orange,Did you know there are 100s of bananas? Click here to find out more!,703.92,705.28,1421.0,241.0
2015-02-16 00:00:00,8923,team_banana,Did you know there are 100s of bananas? Click here to find out more!,392.88,400.12,5245.0,549.0
2015-02-16 00:00:00,4836,team_orange,Did you know there are 100s of bananas? Click here to find out more!,886.96,888.53,9488.0,1950.0
2015-02-16 00:00:00,7832,team_orange,Did you know there are 100s of bananas? Click here to find out more!,890.48,892.61,8545.0,1484.0
2015-02-16 00:00:00,4887,team_orange,Did you know there are 100s of bananas? Click here to find out more!,807.56,807.7,4532.0,975.0
2015-02-16 00:00:00,7528,team_banana,Did you know there are 100s of bananas? Click here to find out more!,663.88,670.77,2071.0,15.0
2015-02-16 00:00:00,9079,team_banana,Did you know there are 100s of bananas? Click here to find out more!,266.37,267.24,9077.0,1670.0
2015-02-16 00:00:00,8005,team_banana,Did you know there are 100s of bananas? Click here to find out more!,448.31,452.94,5043.0,1212.0
2015-02-16 00:00:00,2519,team_orange,Did you know there are 100s of bananas? Click here to find out more!,95.89,105.11,5660.0,690.0
2015-02-16 00:00:00,2703,team_banana,Did you know there are 100s of bananas? Click here to find out more!,502.76,511.6,8584.0,1434.0
2015-02-16 00:00:00,3354,team_banana,Did you know there are 100s of bananas? Click here to find out more!,810.42,814.77,784.0,3.0
2015-02-16 00:00:00,4088,team_orange,Did you know there are 100s of bananas? Click here to find out more!,482.06,489.71,5428.0,1014.0
2015-02-16 00:00:00,6982,team_orange,Did you know there are 100s of bananas? Click here to find out more!,357.48,359.75,1477.0,15.0
2015-02-16 00:00:00,1763,team_orange,Did you know there are 100s of bananas? Click here to find out more!,698.3,703.39,7579.0,270.0
2015-02-16 00:00:00,8034,team_banana,Did you know there are 100s of bananas? Click here to find out more!,120.27,128.3,4413.0,350.0
2015-02-16 00:00:00,7224,team_orange,Did you know there are 100s of bananas? Click here to find out more!,273.99,274.02,8365.0,1434.0
2015-02-16 00:00:00,4458,team_orange,Did you know there are 100s of bananas? Click here to find out more!,792.99,794.11,1273.0,245.0
2015-02-17 00:00:00,8005,team_banana,Did you know there are 100s of bananas? Click here to find out more!,949.95,952.69,5605.0,1357.0
2015-02-17 00:00:00,10000,team_banana,Did you know there are 100s of bananas? Click here to find out more!,143.62,150.04,8997.0,1837.0
2015-02-17 00:00:00,8034,team_banana,Did you know there are 100s of bananas? Click here to find out more!,213.1,222.62,9128.0,615.0
2015-02-17 00:00:00,4458,team_orange,Did you know there are 100s of bananas? Click here to find out more!,842.81,850.02,6921.0,801.0
2015-02-17 00:00:00,2703,team_banana,Did you know there are 100s of bananas? Click here to find out more!,87.27,93.17,8487.0,739.0
2015-02-17 00:00:00,4585,team_orange,Did you know there are 100s of bananas? Click here to find out more!,110.2,113.28,5287.0,240.0
2015-02-17 00:00:00,8923,team_banana,Did you know there are 100s of bananas? Click here to find out more!,387.49,396.39,9162.0,268.0
2015-02-17 00:00:00,6982,team_orange,Did you know there are 100s of bananas? Click here to find out more!,681.85,685.83,1347.0,283.0
2015-02-17 00:00:00,4887,team_orange,Did you know there are 100s of bananas? Click here to find out more!,121.79,123.85,9029.0,1052.0
2015-02-17 00:00:00,2519,team_orange,Did you know there are 100s of bananas? Click here to find out more!,996.61,1001.72,5036.0,665.0
2015-02-17 00:00:00,4836,team_orange,Did you know there are 100s of bananas? Click here to find out more!,5.63,14.32,7993.0,744.0
2015-02-17 00:00:00,7224,team_orange,Did you know there are 100s of bananas? Click here to find out more!,474.15,477.47,1644.0,267.0
2015-02-17 00:00:00,9309,team_banana,Did you know there are 100s of bananas? Click here to find out more!,392.95,399.62,5374.0,552.0
2015-02-17 00:00:00,7832,team_orange,Did you know there are 100s of bananas? Click here to find out more!,993.32,995.38,4297.0,89.0
2015-02-17 00:00:00,7779,team_banana,Did you know there are 100s of bananas? Click here to find out more!,376.81,386.8,1090.0,224.0
2015-02-17 00:00:00,1763,team_orange,Did you know there are 100s of bananas? Click here to find out more!,704.88,710.64,4780.0,931.0
2015-02-17 00:00:00,4088,team_orange,Did you know there are 100s of bananas? Click here to find out more!,491.31,496.46,7820.0,536.0
2015-02-17 00:00:00,7528,team_banana,Did you know there are 100s of bananas? Click here to find out more!,454.33,463.61,8915.0,403.0
2015-02-17 00:00:00,3354,team_banana,Did you know there are 100s of bananas? Click here to find out more!,347.7,347.87,5458.0,806.0
2015-02-17 00:00:00,9079,team_banana,Did you know there are 100s of bananas? Click here to find out more!,328.6,337.57,9028.0,575.0
2015-02-18 00:00:00,4887,team_orange,Did you know there are 100s of bananas? Click here to find out more!,819.13,827.41,7502.0,932.0
2015-02-18 00:00:00,4088,team_orange,Did you know there are 100s of bananas? Click here to find out more!,454.11,454.12,879.0,195.0
2015-02-18 00:00:00,3354,team_banana,Did you know there are 100s of bananas? Click here to find out more!,848.02,853.56,85.0,19.0
2015-02-18 00:00:00,1763,team_orange,Did you know there are 100s of bananas? Click here to find out more!,748.66,757.66,8254.0,1436.0
